Team-year,AdjO,AdjD,AdjT,Win50,OppEM,OppO,OppD,OppEM
LeTourneau2022,101.3,95.3,76.5,3.7,3,99.4,96.4,2.6
Northwestern-St. Paul2022,107.9,101.9,75.1,-6.3,-10,93.9,103.9,-10
TCNJ2022,106,100,64.3,6.6,0.5,96.9,96.4,0.2
Whitworth2022,102.5,96.5,71.2,1.5,4.2,102,97.9,5.5
Amherst2022,96.5,90.6,68.1,0.5,1.5,101.2,99.7,1.5
Neb. Wesleyan2022,104.4,98.5,72.2,-3.1,0.4,98.9,98.5,-1.3
Linfield2022,105.5,99.7,71.5,-1.3,1,99.1,98.1,3.3
UMass Dartmouth2022,104.2,98.5,75.5,15.8,10.5,103.3,92.8,10.5
Wis. Lutheran2022,100.1,94.5,76.1,0.8,-1.9,100.1,102,-2.5
Farmingdale St.2022,104.3,98.7,75.4,2.7,1.4,97.7,96.3,1.1
Millikin2022,95.6,90.3,68.3,3,0.2,103.2,103,-2.8
Loras2022,107.5,102.5,70.7,3.8,0.1,101.9,101.7,-2.7
Juniata2022,101.9,96.9,68.5,-0.6,1.3,99.1,97.9,-0.9
Coe2022,99.6,94.7,72.2,0.3,0,99.8,99.8,-0.4
Chapman2022,106.5,101.8,71.9,5.9,10.1,104.8,94.6,5.2
Carleton2022,104,99.5,74.2,-6.3,-3.1,98.2,101.3,-2.5
Piedmont2022,98.8,94.4,72.7,0.1,0.3,98.9,98.6,0.3
Rhodes2022,102.5,98.2,71.2,-10.3,-7.4,93,100.4,-6.6
Macalester2022,95.8,91.6,74.7,-2.5,-6.2,96.1,102.3,-9.2
Albertus Magnus2022,102.2,98.1,75.4,4.3,8.5,102.2,93.8,10.4
Augustana (IL)2022,107.9,104,71.9,10.4,9.2,105.4,96.2,7.5
Wabash2022,115.1,111.2,70.2,5,3.9,101.3,97.4,4.1
Schreiner2022,96.8,92.9,78.6,1.9,2.7,101.3,98.5,-0.2
Misericordia2022,106.1,102.2,74.5,2.7,0.4,95.3,94.9,1.6
Westminster (PA)2022,99.7,95.7,74.6,-5.5,-4.6,95,99.6,-6.8
IIT2022,97.7,93.8,71.5,1.4,3,100.2,97.2,4.3
Otterbein2022,99.2,95.2,70.4,2.8,3.4,101.7,98.3,1.2
Pfeiffer2022,104.9,101,77.2,7.9,5.7,102.3,96.6,5.7
Messiah2022,95.3,91.4,69.6,2.8,3.6,97.3,93.7,1.2
Simpson2022,100.8,97,75.8,0.3,-1.4,100.7,102,-3.9
Salisbury2022,101.1,97.3,69.4,10.6,7.7,103.6,95.9,7.7
Albright2022,101.7,98.1,79.3,-2.1,-4.5,97.2,101.7,-7.3
Texas Lutheran2022,97.1,93.5,72.9,1.4,-0.2,100,100.2,2.1
Bowdoin2022,99.5,95.9,75.1,11.7,7.3,101,93.6,6.4
Saint Marys (MN)2022,103.6,100,71.7,4.1,2.6,102,99.4,0.7
SUNY Delhi2022,103.7,100.2,81,-9.3,-2.9,95.1,98,-2
New Jersey City2022,96.4,92.9,71.4,4,4.4,101.6,97.1,2.5
UMass Boston2022,97.8,94.5,73.9,-1.8,-8.8,92.5,101.3,-11
Denison2022,106.1,102.8,68.6,3.9,3.9,101.7,97.8,2.4
St. Lawrence2022,96.9,93.6,71.2,-2.8,0.1,99.7,99.6,1.6
Stevens2022,96.5,93.3,69.7,2.6,1.8,98.4,96.5,2.9
Yeshiva2022,107.8,104.7,73.4,-1.4,0.5,97,96.5,10
Buena Vista2022,101.5,98.4,71.6,1,1,103,101.9,-1.5
Albion2022,101.7,98.8,69.9,7.4,3.5,99.9,96.4,3.5
York (PA)2022,101.2,98.3,70.5,-1.9,2.6,97.4,94.8,-0.1
Stevenson2022,101.2,98.4,73.4,-3.2,-1.2,97,98.3,-5.9
Lancaster Bible2022,97.7,94.9,72.3,-1.7,-0.1,96.8,96.9,4.5
Wittenberg2022,100.8,98,71.1,-2.5,-0.4,101.1,101.5,-0.5
Me.-Farmington2022,104,101.2,76.1,0.8,-4.4,95.7,100.1,-0.8
Emmanuel (MA)2022,102.7,100,74.1,4,3.3,99.4,96.1,3.2
Penn St.-Abington2022,97.9,95.3,70.3,-3.6,-4.1,96,100.1,-4.3
Oberlin2022,100.9,98.4,69.1,3.9,3.3,103.8,100.5,3.2
Wis.-Stout2022,104.2,102,77.3,6,0.1,99.7,99.6,-4.7
Eastern Conn. St.2022,94.3,92.1,74.2,8.4,7,100.4,93.4,7.5
Wash. & Jeff.2022,92.8,90.8,85.1,-3.3,-4.1,96.1,100.2,0.7
Concordia (TX)2022,107,105.1,81.2,3.8,6.3,99.9,93.6,4.9
Baldwin Wallace2022,103.6,101.7,73.6,0.4,3.1,101.4,98.3,2.1
Penn St.-Altoona2022,103,101.3,76.7,4.3,1.6,97.9,96.3,1.6
Pacific Lutheran2022,100.3,98.7,72.2,5.9,5.2,102.5,97.3,0.3
Rockford2022,102.1,100.5,77.8,-3.6,-5.7,96.8,102.5,-7.5
Baruch2022,101.6,100,72.9,-4.2,-2.9,95,97.9,-1
Sul Ross St.2022,99.1,97.6,78.4,9.4,8.8,101.2,92.4,7.2
Mitchell2022,94.6,93.1,78.2,-5.2,-6.2,95.8,102,-6.2
Haverford2022,96.2,94.8,70.8,6.6,4.9,101,96,3.5
UChicago2022,98.3,96.9,67.3,-2.7,1.6,101.9,100.3,1.6
Greensboro2022,97.7,96.4,77.3,-2.2,2,99.1,97.1,2
Aurora2022,102.6,101.3,69.5,-1,-9.4,92.4,101.9,-15.1
Asbury2022,104.3,103.1,70.9,-8.9,-9,97.6,106.6,-10.8
Birmingham-So.2022,102.3,101.2,80,-3.2,-4.4,96.5,100.9,-2.9
St. Josephs (ME)2022,103.4,102.4,76,-0.4,0.1,98.1,98,0.1
Concordia Wisconsin2022,105.8,104.9,73.7,5.8,5.2,101.5,96.3,3.5
Salve Regina2022,96.5,95.8,71.5,7.3,6.6,100.4,93.8,8.7
Mary Baldwin2022,101.6,100.8,75.4,3.6,3.8,99.9,96.1,3.8
Benedictine (IL)2022,99.3,98.5,70.9,4.5,3.6,102.7,99.1,7.8
Southern Me.2022,96.3,95.7,72,-5.8,-5.8,94.3,100.1,-10
Wheaton (MA)2022,97.9,97.3,74.3,0.2,-1.2,98.1,99.4,-1.2
Ohio Northern2022,101.8,101.3,67.9,2.8,4,103.3,99.3,1.6
Ramapo2022,94.2,93.8,72.8,-4.2,-1,96.5,97.5,-8.3
Cornell College2022,101.1,100.8,65.8,3.8,5.4,104.1,98.7,6.8
Cal Lutheran2022,102.7,102.4,70.1,2.8,0.8,100.4,99.6,2.6
NVU-Johnson2022,97.9,97.6,81.4,-3.4,-1.7,96.3,98.1,0.8
Lasell2022,99.1,98.9,76.7,0.3,1.3,98.1,96.9,1.8
Wis.-Superior2022,100.5,100.4,71.7,11.1,5.2,102,96.8,5.2
Hiram2022,109,108.9,78.9,2.3,1.8,101.2,99.5,0
LaGrange2022,104.1,104,68.7,0.4,-1.1,98.9,100,-1.1
Susquehanna2022,100.9,100.9,68.7,-4.7,3.7,101.3,97.7,5.1
Husson2022,101.2,101.2,74.4,-0.4,-4.2,95.9,100.1,-2.5
