T1,T2,T1 PTS,T2 PTS,T1 FGA,T1 FGM,T2 FGA,T2 FGM,T1 PCT,T2 PCT,RESULT,DIFF
Ohio Wesleyan2022,Albion2021,73,67,49,22,57,26,0.4489795918,0.4561403509,1,6
Ohio Wesleyan2022,Capital2021,67,65,53,22,55,24,0.4150943396,0.4363636364,1,2
Ohio Wesleyan2022,Heidelberg2021,70,72,59,25,75,27,0.4237288136,0.36,0,-2
Ohio Wesleyan2022,Kenyon2021,75,61,52,24,57,21,0.4615384615,0.3684210526,1,14
Ohio Wesleyan2022,Wooster2021,52,73,57,19,54,29,0.3333333333,0.537037037,0,-21
Ohio Wesleyan2022,Wittenberg2021,52,42,55,21,48,15,0.3818181818,0.3125,1,10
Wabash2021,Centre2021,74,70,62,26,63,26,0.4193548387,0.4126984127,1,4
Wabash2021,Hanover2021,81,83,56,27,58,30,0.4821428571,0.5172413793,0,-2
Wabash2021,Marietta2021,92,99,68,33,68,37,0.4852941176,0.5441176471,0,-7
Wabash2021,Emory2021,98,90,59,33,71,31,0.5593220339,0.4366197183,1,8
Wabash2021,Denison2021,92,87,61,34,70,33,0.5573770492,0.4714285714,1,5
Wabash2021,Rose-Hulman2021,67,64,62,25,55,23,0.4032258065,0.4181818182,1,3
Wabash2021,Oberlin2021,85,87,63,32,57,30,0.5079365079,0.5263157895,0,-2
Wabash2021,Ohio Wesleyan2021,86,58,67,33,62,21,0.4925373134,0.3387096774,1,28
Wabash2021,Wittenberg2021,101,73,57,36,57,30,0.6315789474,0.5263157895,1,28
Wabash2021,Mt. St. Joseph2021,96,88,62,34,64,33,0.5483870968,0.515625,1,8
Wabash2021,Anderson (IN)2021,96,84,56,36,63,29,0.6428571429,0.4603174603,1,12
Wabash2021,Oberlin2021,75,74,64,23,63,31,0.359375,0.4920634921,1,1
Wabash2021,Hiram2021,100,79,62,38,68,31,0.6129032258,0.4558823529,1,21
Wabash2021,Kenyon2021,92,64,61,30,62,23,0.4918032787,0.3709677419,1,28
Wabash2021,DePauw2021,96,70,64,36,59,23,0.5625,0.3898305085,1,26
Wabash2021,Wittenberg2021,87,69,64,34,57,23,0.53125,0.4035087719,1,18
Wabash2021,Denison2021,86,63,65,31,69,26,0.4769230769,0.3768115942,1,23
Wabash2021,Wooster2021,94,80,52,28,64,26,0.5384615385,0.40625,1,14
Wabash2021,Allegheny2021,104,89,64,35,71,33,0.546875,0.4647887324,1,15
Wabash2021,Hiram2021,103,83,63,38,76,33,0.6031746032,0.4342105263,1,20
Wabash2021,Ohio Wesleyan2021,88,74,62,29,55,27,0.4677419355,0.4909090909,1,14
Wabash2021,Wooster2021,97,75,65,33,65,29,0.5076923077,0.4461538462,1,22
Wabash2021,DePauw2021,81,72,49,29,57,24,0.5918367347,0.4210526316,1,9
Wabash2021,Kenyon2021,98,75,69,34,60,27,0.4927536232,0.45,1,23
Wabash2021,Hiram2021,101,79,58,35,74,32,0.6034482759,0.4324324324,1,22
Wabash2021,Denison2021,98,74,63,35,67,31,0.5555555556,0.4626865672,1,24
Wabash2021,Wooster2021,85,84,66,30,66,33,0.4545454545,0.5,1,1
Wabash2021,Berry2021,91,79,60,30,58,30,0.5,0.5172413793,1,12
Wabash2021,Emory2021,87,86,55,29,77,35,0.5272727273,0.4545454545,1,1
Wabash2021,Williams2021,73,59,60,27,55,21,0.45,0.3818181818,1,14
Wabash2021,Ill. Wesleyan2021,81,75,60,26,64,28,0.4333333333,0.4375,1,6
Wabash2021,Elmhurst2021,68,90,67,23,71,32,0.3432835821,0.4507042254,0,-22
Wittenberg2021,Hendrix2021,78,80,70,30,53,26,0.4285714286,0.4905660377,0,-2
Wittenberg2021,La Roche2021,83,89,53,28,66,32,0.5283018868,0.4848484848,0,-6
Wittenberg2021,Hanover2021,69,76,59,25,56,28,0.4237288136,0.5,0,-7
Wittenberg2021,Wilmington (OH)2021,64,57,50,23,76,22,0.46,0.2894736842,1,7
Wittenberg2021,Hiram2021,79,72,57,30,62,31,0.5263157895,0.5,1,7
Wittenberg2021,DePauw2021,77,50,54,26,53,17,0.4814814815,0.320754717,1,27
Wittenberg2021,Wabash2021,73,101,57,30,57,36,0.5263157895,0.6315789474,0,-28
Wittenberg2021,Juniata2021,75,69,56,26,61,27,0.4642857143,0.4426229508,1,6
Wittenberg2021,Albion2021,63,76,59,21,60,27,0.3559322034,0.45,0,-13
Wittenberg2021,Mt. St. Joseph2021,59,63,57,20,60,25,0.350877193,0.4166666667,0,-4
Wittenberg2021,Oberlin2021,77,75,49,27,66,27,0.5510204082,0.4090909091,1,2
Wittenberg2021,Wooster2021,80,77,57,27,52,30,0.4736842105,0.5769230769,1,3
Wittenberg2021,Denison2021,55,69,49,19,60,29,0.387755102,0.4833333333,0,-14
Wittenberg2021,Ohio Wesleyan2021,77,71,59,26,67,29,0.4406779661,0.4328358209,1,6
Wittenberg2021,Hiram2021,84,54,58,31,63,21,0.5344827586,0.3333333333,1,30
Wittenberg2021,Wabash2021,69,87,57,23,64,34,0.4035087719,0.53125,0,-18
Wittenberg2021,Oberlin2021,64,60,46,21,49,22,0.4565217391,0.4489795918,1,4
